name,free_bikes,empty_slots,slots,altitude,ebikes,has_ebikes,normal_bikes,payment,payment-terminal,renting,returning,uid,last_updated,address,timestamp,latitude,longitude,id
Morse St / Eastern Ave,10,1,11,0.0,0,True,10,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7342,1670237869,Morse St / Eastern Ave,2022-12-05T10:59:11.244000Z,43.657991,-79.340075,7461a94289f2956b380e5b7684b56a1e
Alton Ave / Dundas St E (Greenwood Park),18,5,23,0.0,0,True,18,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7343,1670237802,Alton Ave / Dundas St E (Greenwood Park),2022-12-05T10:59:11.245000Z,43.66745,-79.329408,69dc0257a4d3a1dcd5af06dc3b4eed8c
Blake St / Boultbee Ave,8,7,15,0.0,0,True,8,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7340,1670237841,Blake St / Boultbee Ave,2022-12-05T10:59:11.246000Z,43.672453,-79.338259,365a0f49bf1c9b42c35b531688b9fed9
Eastern Ave / Winnifred Ave,14,1,15,0.0,0,True,14,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7341,1670237812,Eastern Ave / Winnifred Ave,2022-12-05T10:59:11.247000Z,43.6592088,-79.3348396,49021f20833894e3dbfaea4fb6e7a9dc
Gamble Ave / Broadview Ave,5,18,23,0.0,0,True,5,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7349,1670237855,Gamble Ave / Broadview Ave,2022-12-05T10:59:11.249000Z,43.689211,-79.35438,3910976dfd5888140602a42b14637022
Toronto Eaton Centre (Yonge St),6,8,14,0.0,0,True,6,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7269,1670237790,Toronto Eaton Centre (Yonge St),2022-12-05T10:59:11.250000Z,43.655431,-79.380653,32f618847043b8011f80333b5e7ea8b3
111 Bond St (North of Dundas St E)  - SMART,12,4,16,0.0,0,True,12,"['key', 'transitcard', 'phone']",False,1,1,7268,1670237740,111 Bond St (North of Dundas St E),2022-12-05T10:59:11.251000Z,43.656927,-79.378497,1fe2e0ad1678ffaf965b10e03a08aaf2
Wallace Ave / Symington Ave - SMART,5,7,12,0.0,0,True,5,"['key', 'transitcard', 'phone']",False,1,1,7265,1670237701,Wallace Ave / Symington Ave,2022-12-05T10:59:11.252000Z,43.661324,-79.449534,dbf9d3fb9932d05d7ddda51acd4d26b0
Dundas St E / Pembroke St - SMART,3,12,16,0.0,0,True,3,"['key', 'transitcard', 'phone']",False,1,1,7267,1670237840,Dundas St E / Pembroke St,2022-12-05T10:59:11.254000Z,43.658295,-79.372346,e565aef96d6d5fce5279ef6f24b9ce69
Victoria Park Subway Station - SMART,12,8,20,0.0,0,True,12,"['key', 'transitcard', 'phone']",False,1,1,7266,1670237874,Victoria Park Subway Station,2022-12-05T10:59:11.254000Z,43.6940155,-79.2889842,c765943cac057b6cac0946eff428bf5b
Wychwood Ave / Benson Ave - SMART,7,9,16,0.0,0,True,7,"['key', 'transitcard', 'phone']",False,1,1,7262,1670237853,Wychwood Ave / Benson Ave,2022-12-05T10:59:11.259000Z,43.6809164,-79.4229684,e0dec8b8f5ed285bfbd952bb253084f4
Lawton Blvd / Yonge St,12,2,15,0.0,0,True,12,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7379,1670237761,Lawton Blvd / Yonge St,2022-12-05T10:59:11.276000Z,43.6910667,-79.39535,5ee5f79fc51737623d425310eb0bf02b
Yonge St / Davisville Ave,0,14,15,0.0,0,True,0,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7378,1670237934,Yonge St / Davisville Ave,2022-12-05T10:59:11.647000Z,43.6975969,-79.39654,0daa4477ec313c30dc3036f4bd45e0ba
Fort York  Blvd / Capreol Ct,26,7,35,0.0,0,True,26,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7000,1670237772,Fort York  Blvd / Capreol Ct,2022-12-05T10:59:11.281000Z,43.639832,-79.395954,e2911ec2b832c350dad0a8831a30d273
Madison Ave / Bloor St W,3,12,15,,0,True,3,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7003,1670237932,Madison Ave / Bloor St W,2022-12-05T10:59:11.282000Z,43.667158,-79.402761,83af92756a52874ce9bade85f065f4d1
St. George St / Bloor St W,5,14,19,0.0,0,True,5,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7002,1670237790,St. George St / Bloor St W,2022-12-05T10:59:11.283000Z,43.667333,-79.399429,57ef343f4e12ae497e29c3693d922197
King St W / York St,5,13,19,0.0,0,True,5,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7005,1670237729,King St W / York St,2022-12-05T10:59:11.284000Z,43.6480008,-79.383177,a0100ff8f210b72706e06b4c31a329fe
University Ave / Elm St,4,7,11,,1,True,3,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7004,1670237873,University Ave / Elm St,2022-12-05T10:59:11.284000Z,43.656518,-79.389099,32cb4912f6d3269c070a43e658dea18d
College St / Huron St,2,15,19,0.0,0,True,2,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7007,1670237718,College St / Huron St,2022-12-05T10:59:11.285000Z,43.658148,-79.398167,f8bbce635f366ade23994d02cb6fcc75
Rosehill Ave / Avoca Ave - SMART,2,14,16,0.0,0,True,2,"['key', 'transitcard', 'phone']",False,1,1,7279,1670237796,Rosehill Ave / Avoca Ave,2022-12-05T10:59:11.288000Z,43.687999,-79.38906,75b9fc3e9bf42a5d26fa1393d9ce72ed
HTO Park (Queens Quay W),24,3,27,0.0,0,True,24,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7175,1670237753,HTO Park (Queens Quay W),2022-12-05T10:59:11.291000Z,43.63796,-79.387502,5e41d051a93e4087fc80e372089dbd6c
Bloor St W / Dundas St W,14,1,15,0.0,0,True,14,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7174,1670237857,Bloor St W / Dundas St W,2022-12-05T10:59:11.292000Z,43.6563889,-79.45166666666667,d3e1a4057d9bf7c31c216017a0f1989b
Bathurst St / Fort York Blvd,19,0,19,0.0,0,True,19,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7176,1670237818,Bathurst St / Fort York Blvd,2022-12-05T10:59:11.293000Z,43.639179,-79.399595,8a4d335d5540e0c2132ffdb1def165f6
Ontario Place Blvd / Lake Shore Blvd W (East),17,9,27,0.0,1,True,16,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7171,1670237845,Ontario Place Blvd / Lake Shore Blvd W (East),2022-12-05T10:59:11.301000Z,43.6322445,-79.4108105,f91f2493c8cca75e7c70987c8d0a516c
Spadina Ave / Willcocks St,0,14,15,0.0,0,True,0,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7170,1670237837,Spadina Ave / Willcocks St,2022-12-05T10:59:11.303000Z,43.6616667,-79.40138888888889,359ce82fbe9d1e9e9962321e62f6066f
Cariboo St / Rail Path,4,15,19,0.0,0,True,4,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7173,1670237833,Cariboo St / Rail Path,2022-12-05T10:59:11.304000Z,43.66666667,-79.45833333333334,4077bf05c083f50d09a52487fd234193
Dundas St W / Edna Ave,12,2,15,0.0,0,True,12,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7178,1670237711,Dundas St W / Edna Ave,2022-12-05T10:59:11.310000Z,43.657192,-79.452559,43e5df21054d20adc56c6aa3544b5980
College St / Major St,1,9,11,0.0,0,True,1,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7078,1670237711,College St / Major St,2022-12-05T10:59:11.314000Z,43.6576,-79.4032,6aa469025f8c5ff029052fab35bca1f4
McGill St / Church St,9,6,17,0.0,0,True,9,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7079,1670237708,McGill St / Church St,2022-12-05T10:59:11.315000Z,43.660694,-79.379052,b086f4ccca33b1b976b40abe69b78d42
Queens Quay W / Dan Leckie Way,25,0,27,0.0,0,True,25,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7075,1670237836,Queens Quay W / Dan Leckie Way,2022-12-05T10:59:11.317000Z,43.636533,-79.395854,0fa15700b0d780b8f810ced06a01760d
York St / Queens Quay W,43,11,56,0.0,0,True,43,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7076,1670237777,York St / Queens Quay W,2022-12-05T10:59:11.318000Z,43.640132,-79.380464,38d3408bfdf5a321a15ae61358af4aac
College Park South,14,4,19,0.0,0,True,14,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7077,1670237826,College Park South,2022-12-05T10:59:11.318000Z,43.659777,-79.382767,c3033415413ac24bf33672aa79838018
25 York St – Union Station South,6,4,11,0.0,0,True,6,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7070,1670237933,25 York St – Union Station South,2022-12-05T10:59:11.319000Z,43.643667,-79.380414,ce6e330ba7f61e0453dc1567eaa02745
161 Bleecker St (South of Wellesley),1,22,23,0.0,0,True,1,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7071,1670237846,161 Bleecker St (South of Wellesley),2022-12-05T10:59:11.320000Z,43.666233,-79.373327,049c76540151608ec55bfcd0e1748f41
Spadina Ave / Fort York Blvd,19,0,23,0.0,0,True,19,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7073,1670237756,Spadina Ave / Fort York Blvd,2022-12-05T10:59:11.322000Z,43.640114,-79.393249,55a100afdce605b59cf4acbefcdf3213
Exhibition GO (Atlantic Ave),21,2,23,0.0,0,True,21,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7188,1670237883,Exhibition GO (Atlantic Ave),2022-12-05T10:59:11.325000Z,43.6366666666667,-79.4197222222222,c6ac837bff4150c1a472d65dea88544f
Augusta Ave / Denison Sq,10,4,15,0.0,0,True,10,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7189,1670237909,Augusta Ave / Denison Sq,2022-12-05T10:59:11.326000Z,43.653766,-79.4016759,422a936ddcb551dd9f26ec313a450057
Lansdowne Subway Station,17,5,23,0.0,0,True,17,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7180,1670237838,Lansdowne Ave / Wade Ave,2022-12-05T10:59:11.327000Z,43.6587734,-79.443054,24255acabde130aed03e152541b494fa
Lansdowne Ave / Whytock Ave,0,14,15,0.0,0,True,0,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7181,1670237945,Lansdowne Ave / Whytock Ave,2022-12-05T10:59:11.328000Z,43.6538888888889,-79.4413888888889,e38ee1ccd4c3964a5c0d308d29403b88
Sterling Rd / Dundas St W,0,18,19,0.0,0,True,0,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7182,1670237902,Sterling Rd / Dundas St W,2022-12-05T10:59:11.329000Z,43.6508333333333,-79.4430555555556,fc5b892aa82601e2374e8c1772dde569
St Clarens Ave / College St,8,7,15,0.0,0,True,8,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7183,1670237914,St Clarens Ave / College St,2022-12-05T10:59:11.329000Z,43.651238,-79.43868,90ec8d1df4740c1de95c087a11617c47
Ossington Ave / College St,2,9,11,0.0,0,True,2,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7184,1670237833,Ossington Ave / College St,2022-12-05T10:59:11.330000Z,43.6544915,-79.422634,452241fc4e912119f006a20b4b0099cf
High Park Subway Station,2,17,19,0.0,0,True,2,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7221,1670237727,High Park Subway Station,2022-12-05T10:59:11.332000Z,43.6543604,-79.4655296,eb20e0b8c7c8bf1fc4157a3b715e2837
Lake Shore Blvd W / Ellis Ave,7,12,19,0.0,0,True,7,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7220,1670237931,Lake Shore Blvd W / Ellis Ave,2022-12-05T10:59:11.333000Z,43.635932,-79.465083,baedec3042f7094d0564ef8a1295e5d8
Parkside Dr / Bloor St W - SMART,9,1,12,0.0,0,True,9,"['key', 'transitcard', 'phone']",False,1,1,7223,1670237931,Parkside Dr / Bloor St W,2022-12-05T10:59:11.334000Z,43.654501,-79.460053,196146f920152f5d70175a14f0e88184
Sunnyside - Gus Ryder Pool,6,20,27,0.0,0,True,6,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7222,1670237885,Sunnyside - Gus Ryder Pool,2022-12-05T10:59:11.335000Z,43.637894,-79.454823,71ecba080a7e19ebfb8dcde4964a5277
Lake Shore Blvd W / Windermere Ave,6,12,19,0.0,0,True,6,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7225,1670237855,Lake Shore Blvd W / Windermere Ave,2022-12-05T10:59:11.335000Z,43.634896,-79.467763,e4481e45d22462b01aca9513d8f5674e
Bloor St W / High Park Ave (High Park),6,12,19,0.0,0,True,6,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7224,1670237837,Bloor St W / High Park Ave (High Park),2022-12-05T10:59:11.336000Z,43.6535269,-79.4650569,ba4fc8dd224feedb2762d341bf58916f
Martin Goodman Trail (Marilyn Bell Park),15,15,31,0.0,0,True,15,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7227,1670237776,Martin Goodman Trail (Marilyn Bell Park),2022-12-05T10:59:11.337000Z,43.6314,-79.4304,0cf5a51077c51159b5d6c8ed5b4c9db5
Lake Shore Blvd W / The Boulevard Club,9,8,19,0.0,0,True,9,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7226,1670237913,Lake Shore Blvd W / The Boulevard Club,2022-12-05T10:59:11.338000Z,43.636731,-79.444966,59ef2a57efd0caf7727dbb6451bb8808
Dundas St W / Roncesvalles Green P - SMART,11,1,12,0.0,0,True,11,"['key', 'transitcard', 'phone']",False,1,1,7229,1670237918,Dundas St W / Roncesvalles Green P,2022-12-05T10:59:11.338000Z,43.6534268,-79.4512787,fe00988a883c9469b82d17221ef1824b
Erskine Ave / Yonge St SMART,5,11,16,0.0,0,True,5,"['key', 'transitcard', 'phone']",False,1,1,7380,1670237697,Erskine Ave / Yonge St SMART,2022-12-05T10:59:11.340000Z,43.7112153,-79.39894,f376aecd6bb0d97d5d1580e9537017dd
D'Arcy St. /McCaul St. SMART,13,2,15,0.0,0,True,13,"['key', 'transitcard', 'phone']",False,1,1,7386,1670237834,"D'Arcy St, /McCaul St. SMART",2022-12-05T10:59:11.341000Z,43.655227,-79.39201,d04f206f6afecb72f5821586d56f5071
Mortimer Ave / Carlaw Ave SMART,2,9,12,0.0,0,True,2,"['key', 'transitcard', 'phone']",False,1,1,7387,1670237874,Mortimer Ave / Carlaw Ave SMART,2022-12-05T10:59:11.342000Z,43.685167,-79.34962,d7227eafd0ff8024632b2c9cef1f209c
Cumberland Ave / Bay St SMART,6,6,12,0.0,0,True,6,"['key', 'transitcard', 'phone']",False,1,1,7384,1670237804,Cumberland Ave / Bay St SMART,2022-12-05T10:59:11.343000Z,43.6704537,-79.39014,0ec9fc6c92f35e65f603cd6e7c550f1f
20 Charles St E,0,22,22,0.0,0,True,0,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7385,1670237906,20 Charles St E,2022-12-05T10:59:11.344000Z,43.6691099,-79.38551,d9b63bdad84959af04feaa873f9c0eaf
Niagara St / Tecumseth St,13,2,15,0.0,0,True,13,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7122,1670237772,Niagara St / Tecumseth St,2022-12-05T10:59:11.216000Z,43.641389,-79.404444,0ff8f31be644b9e2af6d38b89bf42c07
424 Wellington St W,13,1,15,0.0,0,True,13,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7123,1670237747,424 Wellington St W,2022-12-05T10:59:11.354000Z,43.643834,-79.396649,01caf8b12874b091f2fccc3818e3c72e
Dundas St W / St. Patrick St,3,16,19,0.0,0,True,3,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7257,1670237735,Dundas St W / St. Patrick St,2022-12-05T10:59:11.368000Z,43.6545174,-79.3895315,bb30daddc7221e19cffecf3ac108f28c
Robert St / Bloor St W - SMART,13,5,18,0.0,0,True,13,"['key', 'transitcard', 'phone']",False,1,1,7252,1670237867,Robert St / Bloor St W,2022-12-05T10:59:11.370000Z,43.665846,-79.404998,f52bcef41a84669da7a468cfc4531356
John St  / Mercer St - SMART,9,3,12,0.0,0,True,9,"['key', 'transitcard', 'phone']",False,1,1,7253,1670237743,John St / Mercer St - SMART,2022-12-05T10:59:11.371000Z,43.6461,-79.3895,ccb82af3c137b126999a511eaead0f38
Queen St E / Hammersmith Ave,10,1,11,0.0,0,True,10,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7315,1670237843,Queen St E / Hammersmith Ave,2022-12-05T10:59:11.371000Z,43.671349,-79.29451,05d7abba295be4af9e74ca3ec241ebd7
Queen St. E / Eastern Ave,11,4,15,0.0,0,True,11,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7314,1670237797,Queen St. E / Eastern Ave,2022-12-05T10:59:11.372000Z,43.667208,-79.312315,973748f7f27229b41ca0d2a96dea777e
Hubbard Blvd / Balsam Av,7,12,19,0.0,0,True,7,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7317,1670237830,Hubbard Blvd / Balsam Av,2022-12-05T10:59:11.373000Z,43.669328,-79.288949,e5a7fc18db4989ecaf70a7e98866faee
Queen St. E / Spruce Hill Rd.,6,9,15,0.0,0,True,6,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7316,1670237710,Queen St. E / Spruce Hill Rd.,2022-12-05T10:59:11.373000Z,43.672571,-79.289,c7cbc921ca5b8310e7218ca5669ad83f
Lower Spadina Ave / Lake Shore Blvd,19,0,19,0.0,0,True,19,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7259,1670237789,Lower Spadina Ave / Lake Shore Blvd W,2022-12-05T10:59:11.375000Z,43.638497,-79.39192,d1de2ddc0ea8a90d00ff717ad60a2f23
Coxwell Ave /  Lake Shore Blvd E,12,3,15,0.0,0,True,12,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7313,1670237934,Coxwell Ave /  Lake Shore Blvd E,2022-12-05T10:59:11.376000Z,43.662771,-79.315223,61291082be03c77f92f883b95292557a
Amelia St. / Sumach St.,1,10,11,0.0,0,True,1,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7312,1670237690,Amelia St. / Sumach St.,2022-12-05T10:59:11.377000Z,43.66852,-79.363525,d60491c58bb95d6ddefb1f1b1ac3f56f
Augusta Ave / Dundas St W,8,7,15,0.0,1,True,7,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7032,1670237866,Augusta Ave / Dundas St W,2022-12-05T10:59:11.386000Z,43.652473,-79.401456,d81d4d6231b9da01ba7f3d6e50728ca8
Queen St W / Ossington Ave,14,7,23,0.0,1,True,13,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7035,1670237714,Queen St W / Ossington Ave,2022-12-05T10:59:11.388000Z,43.643975,-79.419576,d0a8478c786cb2480de4fcecda844781
Trinity St /Front St E,10,9,19,0.0,0,True,10,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7036,1670237880,Trinity St / Front St E,2022-12-05T10:59:11.388000Z,43.651318,-79.36023,1053161189e46ea1c3122c94b644bc9d
Dundas St W / Yonge St,8,6,15,0.0,0,True,8,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7038,1670237887,Dundas St W / Yonge St,2022-12-05T10:59:11.390000Z,43.656094,-79.381484,02feaaef65cff4671fb1935179895659
Kendal Ave / Spadina Rd,4,5,9,0.0,0,True,4,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7132,1670237759,Kendal Ave / Spadina Rd,2022-12-05T10:59:11.392000Z,43.670318,-79.405181,b076c918fa10b274340bcdb0f0bca1a6
Davenport Rd / Bathurst St,7,24,31,0.0,0,True,7,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7137,1670237908,Davenport Rd / Bathurst St,2022-12-05T10:59:11.394000Z,43.676667,-79.416111,45be3a2b4a327ff6abac542ddc406738
Queen St W / Close Ave,21,2,23,0.0,0,True,21,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7136,1670237726,Queen St W / Close Ave,2022-12-05T10:59:11.394000Z,43.640634,-79.435841,ad436e2a229c14d4611cbcacd7cf026f
King St W / Joe Shuster Way,11,4,15,0.0,0,True,11,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7148,1670237874,King St W / Joe Shuster Way,2022-12-05T10:59:11.413000Z,43.639444,-79.423611,dc268bf6d12c7311db0b5b61b3304b03
Yarmouth Rd / Christie St,0,11,11,0.0,0,True,0,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7149,1670237896,Yarmouth Rd / Christie St,2022-12-05T10:59:11.414000Z,43.67,-79.42083333333333,0abdfc3177000757dcd71bd4c8b479ee
Palmerston Ave / Vermont Ave,4,11,15,0.0,0,True,4,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7144,1670237934,Palmerston Ave / Vermont Ave,2022-12-05T10:59:11.415000Z,43.671389,-79.416389,37c32c09c594b83701b3b8f6e32db605
Christie St / Benson Ave (Wychwood Barns),1,18,19,0.0,0,True,1,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7146,1670237853,Christie St / Benson Ave (Wychwood Barns),2022-12-05T10:59:11.416000Z,43.68,-79.42500000000001,8536b57314846d3b42645c0023e6e60d
King St W / Fraser Ave,14,1,15,0.0,1,True,13,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7147,1670237866,King St W / Fraser Ave,2022-12-05T10:59:11.417000Z,43.6394444,-79.42527777777778,8db5b143b08ea1fed85f0702fcfe01ec
Macpherson Ave / Spadina Rd,6,9,15,0.0,1,True,5,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7140,1670237694,Macpherson Ave / Spadina Rd,2022-12-05T10:59:11.418000Z,43.675791,-79.40698,879f0d4ef4403ab902e541528bf329f6
Bridgeman Ave / Kendal Ave,9,5,15,0.0,0,True,9,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7141,1670237795,Bridgeman Ave / Kendal Ave,2022-12-05T10:59:11.418000Z,43.675556,-79.410278,c497911a9c04bebbbc32e5211c081f85
Bridgeman Ave / Bathurst St,5,10,15,0.0,0,True,5,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7142,1670237846,Bridgeman Ave / Bathurst St,2022-12-05T10:59:11.419000Z,43.674444,-79.414722,2e19220f1e64559e88f3c48b3ebf2916
Kendal Ave / Bernard Ave,6,8,15,0.0,0,True,6,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7143,1670237866,Kendal Ave / Bernard Ave,2022-12-05T10:59:11.420000Z,43.671513,-79.408317,afa3ff2218a5d1817934c7c7c7bb5d19
Pretoria Av / Broadview Av,2,17,19,0.0,1,True,1,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7351,1670237680,Pretoria Av / Broadview Av,2022-12-05T10:59:11.433000Z,43.6783213,-79.35822,ddba9c631e11fbae48e2be60289f60c2
